CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Voucher
12426.0,270,30,5827.3,1,3,3,133,Other,15
12427.0,21,31,8258.0,5,3,3,533,Other,15
12428.0,101,284,73980.6,4,5,5,455,High Value,100
12429.0,14,97,37504.0,5,4,5,545,High Value,100
12430.0,119,11,2564.0,3,1,2,312,Other,15
12431.0,6,236,64874.5,5,5,5,555,High Value,100
12432.0,118,108,50593.2,3,4,5,345,Other,15
12433.0,14,420,133758.7,5,5,5,555,High Value,100
12434.0,160,50,8061.4,2,3,3,233,Other,15
12435.0,155,36,78298.9,2,3,5,235,Other,15
12436.0,175,16,5090.1,2,2,3,223,Other,15
12437.0,84,200,49514.1,4,5,5,455,High Value,100
12438.0,90,98,29068.5,4,4,5,445,High Value,100
12441.0,15,11,1735.5,5,1,1,511,Recent,50
12442.0,382,12,1720.6,1,1,1,111,Low Value,10
12444.0,97,177,50054.6,4,5,5,455,High Value,100
12445.0,97,4,1334.0,4,1,1,411,Recent,50
12446.0,134,58,10023.1,3,3,4,334,Other,15
12447.0,319,26,4764.9,1,2,2,122,Low Value,10
12448.0,120,22,4494.5,3,2,2,322,Other,15
12449.0,98,191,40672.9,4,5,5,455,High Value,100
12450.0,232,8,1978.8000000000002,1,1,1,111,Low Value,10
12451.0,86,354,90355.2,4,5,5,455,High Value,100
12452.0,93,22,4305.7,4,2,2,422,Recent,50
12453.0,210,43,7070.9,2,3,3,233,Other,15
12454.0,131,15,35283.4,3,2,5,325,Other,15
12455.0,149,90,24668.6,2,4,5,245,Frequent,70
12456.0,120,84,22408.7,3,4,5,345,Other,15
12457.0,142,63,23632.3,2,4,5,245,Frequent,70
12458.0,147,38,9474.0,2,3,4,234,Other,15
12461.0,169,35,8268.8,2,3,3,233,Other,15
12462.0,94,62,11895.9,4,4,4,444,High Value,100
12463.0,129,83,13447.8,3,4,4,344,Other,15
12464.0,86,29,12120.5,4,2,4,424,Other,15
12465.0,92,47,7421.9,4,3,3,433,Other,15
12468.0,263,38,7295.4,1,3,3,133,Other,15
12471.0,6,460,198240.5,5,5,5,555,High Value,100
12472.0,18,339,65721.1,5,5,5,555,High Value,100
12473.0,105,168,39385.5,3,5,5,355,Other,15
12474.0,93,424,73757.9,4,5,5,455,High Value,100
12475.0,129,36,7233.8,3,3,3,333,Other,15
12476.0,11,233,68164.2,5,5,5,555,High Value,100
12477.0,98,300,132197.4,4,5,5,455,High Value,100
12478.0,382,36,6809.9,1,3,3,133,Other,15
12479.0,87,31,5272.0,4,3,3,433,Other,15
12480.0,104,154,32816.3,3,5,5,355,Other,15
12481.0,3,217,55963.2,5,5,5,555,High Value,100
12483.0,92,75,24849.8,4,4,5,445,High Value,100
12484.0,108,346,45417.2,3,5,5,355,Other,15
12488.0,85,55,12986.6,4,3,4,434,Other,15
12489.0,412,15,3349.3,1,2,2,122,Low Value,10
12490.0,93,245,54179.3,4,5,5,455,High Value,100
12491.0,114,26,4604.0,3,2,2,322,Other,15
12492.0,139,20,2632.1,3,2,2,322,Other,15
12493.0,241,22,4337.4,1,2,2,122,Low Value,10
12494.0,7,77,12461.0,5,4,4,544,High Value,100
12497.0,157,14,10431.0,2,1,4,214,Other,15
12498.0,97,23,4037.0,4,2,2,422,Recent,50
12500.0,99,61,42578.2,4,4,5,445,High Value,100
12501.0,412,149,21693.9,1,5,5,155,Frequent,70
12502.0,171,147,37238.7,2,5,5,255,Frequent,70
12504.0,94,9,4820.5,4,1,2,412,Recent,50
12506.0,308,23,735.0,1,2,1,121,Low Value,10
12507.0,209,22,13048.1,2,2,4,224,Other,15
12508.0,103,69,3982.7,4,4,2,442,Other,15
12509.0,360,7,1765.0,1,1,1,111,Low Value,10
12510.0,218,33,9825.7,2,3,4,234,Other,15
12512.0,142,34,1380.3,2,3,1,231,Other,15
12513.0,188,35,6122.9,2,3,3,233,Other,15
12514.0,370,51,10176.8,1,3,4,134,Other,15
12515.0,2,16,3837.0,5,2,2,522,Recent,50
12516.0,154,26,13120.6,2,2,4,224,Other,15
12517.0,104,284,25028.4,3,5,5,355,Other,15
12518.0,104,124,20568.9,3,5,5,355,Other,15
12519.0,139,18,3408.4,3,2,2,322,Other,15
12520.0,155,152,26342.6,2,5,5,255,Frequent,70
12521.0,218,38,5996.8,2,3,3,233,Other,15
12522.0,115,12,1927.2,3,1,1,311,Other,15
12523.0,95,106,17897.7,4,4,4,444,High Value,100
12524.0,85,144,44857.2,4,5,5,455,High Value,100
12526.0,129,71,13166.6,3,4,4,344,Other,15
12527.0,157,18,3487.1,2,2,2,222,Low Value,10
12528.0,85,92,19334.8,4,4,4,444,High Value,100
12530.0,135,66,16622.8,3,4,4,344,Other,15
12531.0,90,17,1252.2,4,2,1,421,Recent,50
12532.0,106,16,3498.3,3,2,2,322,Other,15
12534.0,206,63,10891.8,2,4,4,244,Frequent,70
12535.0,167,34,7163.5,2,3,3,233,Other,15
12536.0,119,261,126018.29999999999,3,5,5,355,Other,15
12538.0,104,21,3639.5,3,2,2,322,Other,15
12539.0,98,273,55683.5,4,5,5,455,High Value,100
12540.0,11,478,134002.4,5,5,5,555,High Value,100
12541.0,105,52,9811.8,3,3,4,334,Other,15
12544.0,113,19,3727.0,3,2,2,322,Other,15
12545.0,151,50,10003.9,2,3,4,234,Other,15
12546.0,122,69,11615.0,3,4,4,344,Other,15
12547.0,273,8,2078.0,1,1,1,111,Low Value,10
12548.0,242,5,952.0,1,1,1,111,Low Value,10
12550.0,155,57,9648.3,2,3,4,234,Other,15
12551.0,6,10,1680.0,5,1,1,511,Recent,50
12552.0,114,20,4378.2,3,2,2,322,Other,15
12553.0,101,191,36922.8,4,5,5,455,High Value,100
12556.0,126,121,6037.1,3,5,3,353,Other,15
12557.0,21,33,119909.6,5,3,5,535,Other,15
12558.0,386,11,2699.6,1,1,2,112,Low Value,10
12559.0,386,21,5617.1,1,2,3,123,Other,15
12560.0,188,105,21340.1,2,4,5,245,Frequent,70
12561.0,378,16,2388.5,1,2,1,121,Low Value,10
12562.0,98,168,37817.4,4,5,5,455,High Value,100
12564.0,366,21,4569.0,1,2,2,122,Low Value,10
12565.0,364,9,1459.2,1,1,1,111,Low Value,10
12566.0,162,19,3516.5,2,2,2,222,Low Value,10
12567.0,16,446,94012.8,5,5,5,555,High Value,100
12569.0,93,188,41246.9,4,5,5,455,High Value,100
12571.0,115,34,5196.1,3,3,3,333,Other,15
12572.0,127,60,10204.2,3,4,4,344,Other,15
12573.0,303,28,1605.4,1,2,1,121,Low Value,10
12574.0,391,11,2184.5,1,1,1,111,Low Value,10
12576.0,111,88,13158.3,3,4,4,344,Other,15
12577.0,8,147,6578.0,5,5,3,553,Other,15
12578.0,97,114,27945.1,4,4,5,445,High Value,100
12579.0,153,29,4404.2,2,2,2,222,Low Value,10
12580.0,322,24,4157.0,1,2,2,122,Low Value,10
12581.0,115,15,1977.1,3,2,1,321,Other,15
12582.0,314,22,5113.6,1,2,3,123,Other,15
12583.0,22,247,72813.8,5,5,5,555,High Value,100
12584.0,93,96,23381.5,4,4,5,445,High Value,100
12585.0,1,87,20401.0,5,4,4,544,High Value,100
12586.0,92,11,1969.4,4,1,1,411,Recent,50
12587.0,386,4,1440.0,1,1,1,111,Low Value,10
12588.0,115,10,2149.0,3,1,1,311,Other,15
12589.0,104,35,6466.8,3,3,3,333,Other,15
12590.0,297,68,98642.6,1,4,5,145,Frequent,70
12591.0,393,26,4528.5,1,2,2,122,Low Value,10
12592.0,168,18,4376.0,2,2,2,222,Low Value,10
12593.0,185,21,4181.0,2,2,2,222,Low Value,10
12594.0,113,118,33382.2,3,4,5,345,Other,15
12596.0,127,27,6182.7,3,2,3,323,Other,15
12597.0,95,206,38112.2,4,5,5,455,High Value,100
12598.0,85,132,30230.8,4,5,5,455,High Value,100
12599.0,105,62,10325.8,3,4,4,344,Other,15
12600.0,6,64,25990.4,5,4,5,545,High Value,100
12601.0,266,25,4660.6,1,2,2,122,Low Value,10
12602.0,144,12,1531.2,2,1,1,211,Low Value,10
12603.0,97,3,7392.0,4,1,3,413,Other,15
12604.0,155,16,2541.8,2,2,2,222,Low Value,10
12607.0,136,101,15795.1,3,4,4,344,Other,15
12609.0,153,60,11268.5,2,4,4,244,Frequent,70
12610.0,98,106,20995.4,4,4,5,445,High Value,100
12611.0,128,65,11933.2,3,4,4,344,Other,15
12612.0,150,19,7040.4,2,2,3,223,Other,15
12613.0,134,153,33443.8,3,5,5,355,Other,15
12614.0,381,20,3156.0,1,2,2,122,Low Value,10
12615.0,113,105,22911.9,3,4,5,345,Other,15
12616.0,171,32,7133.0,2,3,3,233,Other,15
12617.0,105,42,3555.3,3,3,2,332,Other,15
12618.0,97,11,1773.1,4,1,1,411,Recent,50
12619.0,93,85,34352.6,4,4,5,445,High Value,100
12620.0,90,92,13394.1,4,4,4,444,High Value,100
12621.0,6,467,136896.7,5,5,5,555,High Value,100
12622.0,307,11,1801.0,1,1,1,111,Low Value,10
12623.0,380,18,3051.0,1,2,2,122,Low Value,10
12624.0,182,38,6411.3,2,3,3,233,Other,15
12625.0,297,86,26838.2,1,4,5,145,Frequent,70
12626.0,99,294,66204.8,4,5,5,455,High Value,100
12627.0,86,230,44785.3,4,5,5,455,High Value,100
12628.0,109,41,7864.6,3,3,3,333,Other,15
12630.0,85,64,12708.8,4,4,4,444,High Value,100
12631.0,134,31,6405.0,3,3,3,333,Other,15
12633.0,144,101,21639.8,2,4,5,245,Frequent,70
12635.0,165,101,16891.8,2,4,4,244,Frequent,70
12637.0,144,390,60219.0,2,5,5,255,Frequent,70
12638.0,109,39,6716.9,3,3,3,333,Other,15
12639.0,314,22,4861.0,1,2,2,122,Low Value,10
12640.0,99,53,11745.8,4,3,4,434,Other,15
12641.0,191,10,1859.0,2,1,1,211,Low Value,10
12642.0,101,47,10132.6,4,3,4,434,Other,15
12643.0,205,24,33446.4,2,2,5,225,Other,15
12644.0,205,31,4779.1,2,3,2,232,Other,15
12645.0,109,73,17751.8,3,4,4,344,Other,15
12646.0,125,45,13469.7,3,3,4,334,Other,15
12647.0,6,122,37228.2,5,5,5,555,High Value,100
12648.0,230,21,3180.5,2,2,2,222,Low Value,10
12649.0,183,31,6235.1,2,3,3,233,Other,15
12650.0,381,20,3144.4,1,2,2,122,Low Value,10
12651.0,410,9,1140.0,1,1,1,111,Low Value,10
12652.0,417,48,9199.8,1,3,3,133,Other,15
12653.0,224,43,22098.5,2,3,5,235,Other,15
12654.0,86,38,6019.8,4,3,3,433,Other,15
12656.0,93,126,40511.7,4,5,5,455,High Value,100
12657.0,87,47,16431.8,4,3,4,434,Other,15
12658.0,94,36,6860.5,4,3,3,433,Other,15
12659.0,105,5,916.8,3,1,1,311,Other,15
12660.0,87,13,2451.0,4,1,1,411,Recent,50
12662.0,22,230,38497.8,5,5,5,555,High Value,100
12664.0,93,37,48818.8,4,3,5,435,Other,15
12665.0,400,3,630.0,1,1,1,111,Low Value,10
12667.0,143,33,6201.3,2,3,3,233,Other,15
12668.0,4,161,38071.5,5,5,5,555,High Value,100
12669.0,236,101,27440.3,1,4,5,145,Frequent,70
12670.0,86,92,29960.5,4,4,5,445,High Value,100
12672.0,405,10,2259.0,1,1,1,111,Low Value,10
12673.0,384,42,6105.2,1,3,3,133,Other,15
12674.0,114,83,19706.0,3,4,4,344,Other,15
12676.0,100,45,13313.9,4,3,4,434,Other,15
12678.0,2,130,143853.3,5,5,5,555,High Value,100
12679.0,144,48,11130.2,2,3,4,234,Other,15
12680.0,149,53,8776.6,2,3,3,233,Other,15
12681.0,3,638,137875.4,5,5,5,555,High Value,100
12682.0,14,525,122882.2,5,5,5,555,High Value,100
12683.0,14,344,84765.7,5,5,5,555,High Value,100
12684.0,100,105,22836.3,4,4,5,445,High Value,100
12685.0,104,157,28630.8,3,5,5,355,Other,15
12686.0,21,7,891.4000000000001,5,1,1,511,Recent,50
12688.0,189,171,48738.1,2,5,5,255,Frequent,70
12689.0,101,72,12476.1,4,4,4,444,High Value,100
12690.0,281,16,3890.1,1,2,2,122,Low Value,10
12691.0,6,32,10358.0,5,3,4,534,Other,15
12693.0,202,39,8559.1,2,3,3,233,Other,15
12694.0,146,37,8696.7,2,3,3,233,Other,15
12695.0,142,27,5821.0,2,2,3,223,Other,15
12697.0,104,41,9575.9,3,3,4,334,Other,15
12700.0,141,268,49399.9,2,5,5,255,Frequent,70
12701.0,155,53,7977.1,2,3,3,233,Other,15
12702.0,95,12,2190.0,4,1,1,411,Recent,50
12703.0,146,21,2835.5,2,2,2,222,Low Value,10
12704.0,98,88,23408.4,4,4,5,445,High Value,100
12705.0,6,334,68682.9,5,5,5,555,High Value,100
12707.0,367,33,6034.2,1,3,3,133,Other,15
12708.0,17,157,27129.1,5,5,5,555,High Value,100
12709.0,6,201,93178.2,5,5,5,555,High Value,100
12710.0,172,77,11490.2,2,4,4,244,Frequent,70
12712.0,14,133,43961.3,5,5,5,555,High Value,100
12713.0,379,38,8485.5,1,3,3,133,Other,15
12714.0,85,259,47088.6,4,5,5,455,High Value,100
12715.0,182,21,3538.6,2,2,2,222,Low Value,10
12716.0,209,69,10534.9,2,4,4,244,Frequent,70
12717.0,227,55,10309.8,2,3,4,234,Other,15
12718.0,146,19,2382.5,2,2,1,221,Low Value,10
12719.0,141,39,6449.5,2,3,3,233,Other,15
12720.0,6,354,57817.3,5,5,5,555,High Value,100
12721.0,3,161,26561.3,5,5,5,555,High Value,100
12722.0,161,53,9976.3,2,3,4,234,Other,15
12723.0,93,69,7250.7,4,4,3,443,Other,15
12724.0,157,53,10314.1,2,3,4,234,Other,15
12725.0,21,24,4278.0,5,2,2,522,Recent,50
12726.0,6,124,26091.0,5,5,5,555,High Value,100
12727.0,86,139,39807.0,4,5,5,455,High Value,100
12728.0,147,46,8363.3,2,3,3,233,Other,15
12729.0,189,26,4530.1,2,2,2,222,Low Value,10
12731.0,13,237,165454.5,5,5,5,555,High Value,100
12732.0,256,12,2362.6,1,1,1,111,Low Value,10
12733.0,310,22,3839.5,1,2,2,122,Low Value,10
12734.0,1,4,1104.0,5,1,1,511,Recent,50
12735.0,391,43,7795.7,1,3,3,133,Other,15
12736.0,408,4,2340.0,1,1,1,111,Low Value,10
12738.0,20,11,1553.5,5,1,1,511,Recent,50
12739.0,154,38,10130.4,2,3,4,234,Other,15
12740.0,139,27,4276.0,3,2,2,322,Other,15
12743.0,210,134,5464.3,2,5,3,253,Other,15
12744.0,127,222,212792.9,3,5,5,355,Other,15
12747.0,11,103,41960.1,5,4,5,545,High Value,100
12748.0,1,4596,337197.3,5,5,5,555,High Value,100
12749.0,98,199,40908.8,4,5,5,455,High Value,100
12750.0,205,15,2758.8,2,2,2,222,Low Value,10
12752.0,157,53,43667.8,2,3,5,235,Other,15
12753.0,21,197,214293.9,5,5,5,555,High Value,100
12754.0,311,63,30107.4,1,4,5,145,Frequent,70
12755.0,14,4,38119.5,5,1,5,515,Other,15
12756.0,162,4,1120.8,2,1,1,211,Low Value,10
12757.0,91,371,78571.0,4,5,5,455,High Value,100
12758.0,192,97,27915.9,2,4,5,245,Frequent,70
12759.0,128,95,15314.4,3,4,4,344,Other,15
12762.0,101,69,18985.2,4,4,4,444,High Value,100
12763.0,18,18,4940.8,5,2,3,523,Other,15
12764.0,392,45,16938.8,1,3,4,134,Other,15
12766.0,15,310,69896.3,5,5,5,555,High Value,100
12769.0,314,32,11436.0,1,3,4,134,Other,15
12770.0,287,12,13514.5,1,1,4,114,Other,15
12772.0,135,55,8924.7,3,3,3,333,Other,15
12775.0,92,66,13860.4,4,4,4,444,High Value,100
12778.0,95,50,8222.3,4,3,3,433,Other,15
12779.0,21,149,39813.6,5,5,5,555,High Value,100
12781.0,139,25,8267.4,3,2,3,323,Other,15
12782.0,6,87,19154.0,5,4,4,544,High Value,100
12783.0,108,84,22259.1,3,4,5,345,Other,15
12784.0,85,59,5744.2,4,4,3,443,Other,15
12785.0,13,14,3119.5,5,1,2,512,Recent,50
12787.0,85,20,4636.6,4,2,2,422,Recent,50
12789.0,141,4,918.5,2,1,1,211,Low Value,10
12790.0,268,21,3249.2,1,2,2,122,Low Value,10
12791.0,22,2,1926.0,5,1,1,511,Recent,50
12792.0,360,25,4005.4,1,2,2,122,Low Value,10
12793.0,21,24,5454.8,5,2,3,523,Other,15
12794.0,129,45,8604.1,3,3,3,333,Other,15
12795.0,94,14,4304.8,4,1,2,412,Recent,50
12797.0,14,13,2540.3,5,1,2,512,Recent,50
12798.0,86,8,69770.4,4,1,5,415,Other,15
12802.0,262,25,4275.8,1,2,2,122,Low Value,10
12808.0,17,28,4836.5,5,2,2,522,Recent,50
12809.0,253,25,4893.1,1,2,2,122,Low Value,10
12811.0,360,31,5148.5,1,3,3,133,Other,15
12812.0,120,15,2296.4,3,2,1,321,Other,15
12814.0,177,2,1259.1999999999998,2,1,1,211,Low Value,10
12815.0,223,47,10634.6,2,3,4,234,Other,15
12816.0,171,29,5722.0,2,2,3,223,Other,15
12817.0,385,4,1660.4,1,1,1,111,Low Value,10
12818.0,366,14,15420.8,1,2,4,124,Other,15
12820.0,120,59,9423.4,3,4,4,344,Other,15
12821.0,290,6,927.2,1,1,1,111,Low Value,10
12822.0,146,46,9488.8,2,3,4,234,Other,15
12823.0,150,4,13005.0,2,1,4,214,Other,15
12824.0,135,25,3971.2,3,2,2,322,Other,15
12826.0,14,91,14747.2,5,4,4,544,High Value,100
12827.0,108,25,4301.5,3,2,2,322,Other,15
12828.0,141,56,10187.1,2,3,4,234,Other,15
12829.0,9,11,2930.0,5,1,2,512,Recent,50
12830.0,113,38,68146.4,3,3,5,335,Other,15
12831.0,366,9,2150.5,1,1,1,111,Low Value,10
12832.0,108,27,3830.3,3,2,2,322,Other,15
12833.0,221,24,4173.8,2,2,2,222,Low Value,10
12834.0,386,18,3123.8,1,2,2,122,Low Value,10
12836.0,135,175,26128.6,3,5,5,355,Other,15
12837.0,249,12,1341.0,1,1,1,111,Low Value,10
12838.0,22,123,6831.3,5,5,3,553,Other,15
12839.0,5,314,55914.2,5,5,5,555,High Value,100
12840.0,219,113,27267.7,2,4,5,245,Frequent,70
12841.0,18,420,40223.5,5,5,5,555,High Value,100
12842.0,146,34,11189.9,2,3,4,234,Other,15
12843.0,141,103,17022.6,2,4,4,244,Frequent,70
12844.0,105,52,3259.6,3,3,2,332,Other,15
12845.0,366,27,3540.9,1,2,2,122,Low Value,10
12847.0,98,91,8715.4,4,4,3,443,Other,15
12849.0,107,51,10508.9,3,3,4,334,Other,15
12851.0,172,50,1351.8,2,3,1,231,Other,15
12852.0,370,17,3115.5,1,2,2,122,Low Value,10
12853.0,210,78,19571.0,2,4,4,244,Frequent,70
12854.0,154,110,13245.0,2,4,4,244,Frequent,70
12855.0,21,3,381.0,5,1,1,511,Recent,50
12856.0,94,314,21799.3,4,5,5,455,High Value,100
12857.0,287,46,11064.0,1,3,4,134,Other,15
12863.0,128,5,5212.0,3,1,3,313,Other,15
12864.0,214,3,1471.2,2,1,1,211,Low Value,10
12865.0,103,95,15682.3,4,4,4,444,High Value,100
12866.0,387,26,5591.2,1,2,3,123,Other,15
12867.0,8,538,40368.2,5,5,5,555,High Value,100
12868.0,22,107,16070.6,5,4,4,544,High Value,100
12871.0,160,11,3806.4,2,1,2,212,Low Value,10
12872.0,14,66,5999.7,5,4,3,543,Other,15
12873.0,386,4,3740.0,1,1,2,112,Low Value,10
12875.0,21,2,3432.2999999999997,5,1,2,512,Recent,50
12876.0,134,85,22180.2,3,4,5,345,Other,15
12877.0,7,154,15357.7,5,5,4,554,High Value,100
12878.0,312,47,8549.9,1,3,3,133,Other,15
12879.0,120,10,5732.2,3,1,3,313,Other,15
12881.0,379,7,2980.0,1,1,2,112,Low Value,10
12882.0,85,13,14630.4,4,1,4,414,Other,15
12883.0,100,42,7034.7,4,3,3,433,Other,15
12884.0,174,7,3090.5,2,1,2,212,Low Value,10
12885.0,139,71,11752.2,3,4,4,344,Other,15
12886.0,144,82,13784.0,2,4,4,244,Frequent,70
12888.0,290,1,813.5999999999999,1,1,1,111,Low Value,10
12890.0,99,82,3804.7,4,4,2,442,Other,15
12891.0,261,3,3310.0,1,1,2,112,Low Value,10
12893.0,106,34,1881.4,3,3,1,331,Other,15
12895.0,118,22,3728.0,3,2,2,322,Other,15
12897.0,280,4,2165.0,1,1,1,111,Low Value,10
12901.0,86,116,176545.4,4,4,5,445,High Value,100
12902.0,368,10,1386.8,1,1,1,111,Low Value,10
12904.0,94,72,5095.8,4,4,3,443,Other,15
12906.0,87,63,29198.1,4,4,5,445,High Value,100
12908.0,252,2,7500.0,1,1,3,113,Other,15
12909.0,115,48,12752.2,3,3,4,334,Other,15
12910.0,99,75,30750.399999999998,4,4,5,445,High Value,100
12912.0,90,24,16623.0,4,2,4,424,Other,15
12913.0,16,50,24836.3,5,3,5,535,Other,15
12915.0,21,22,3636.5,5,2,2,522,Recent,50
12916.0,214,107,30061.5,2,4,5,245,Frequent,70
12917.0,204,2,5940.0,2,1,3,213,Other,15
12919.0,93,50,13351.9,4,3,4,434,Other,15
12920.0,93,28,1642.3,4,2,1,421,Recent,50
12921.0,15,720,165870.9,5,5,5,555,High Value,100
12922.0,237,28,4053.8,1,2,2,122,Low Value,10
12923.0,140,29,1769.7,2,2,1,221,Low Value,10
12924.0,174,30,9337.0,2,3,3,233,Other,15
12925.0,150,45,6940.5,2,3,3,233,Other,15
12928.0,8,84,20627.0,5,4,5,545,High Value,100
12929.0,387,8,1178.5,1,1,1,111,Low Value,10
12930.0,154,25,4158.0,2,2,2,222,Low Value,10
12931.0,5,82,420559.6,5,4,5,545,High Value,100
12933.0,99,106,6075.3,4,4,3,443,Other,15
12935.0,103,129,21607.0,4,5,5,455,High Value,100
12936.0,92,62,10639.0,4,4,4,444,High Value,100
12937.0,91,120,15042.7,4,4,4,444,High Value,100
12938.0,101,9,1141.4,4,1,1,411,Recent,50
12939.0,140,47,115817.99999999999,2,3,5,235,Other,15
12940.0,130,99,9135.4,3,4,3,343,Other,15
12942.0,14,75,6839.0,5,4,3,543,Other,15
12944.0,3,30,6045.1,5,3,3,533,Other,15
12945.0,364,23,4629.5,1,2,2,122,Low Value,10
12947.0,22,97,16039.9,5,4,4,544,High Value,100
12948.0,92,116,20649.5,4,4,5,445,High Value,100
12949.0,106,215,41672.2,3,5,5,355,Other,15
12950.0,100,23,18430.0,4,2,4,424,Other,15
12951.0,249,63,10640.7,1,4,4,144,Frequent,70
12952.0,118,79,13877.9,3,4,4,344,Other,15
12953.0,85,17,3298.5,4,2,2,422,Recent,50
12955.0,93,180,47571.6,4,5,5,455,High Value,100
12956.0,382,19,1080.7,1,2,1,121,Low Value,10
12957.0,85,238,40175.4,4,5,5,455,High Value,100
12962.0,189,16,2663.9,2,2,2,222,Low Value,10
12963.0,14,95,18566.3,5,4,4,544,High Value,100
12965.0,165,109,7719.1,2,4,3,243,Other,15
12966.0,85,10,1601.8,4,1,1,411,Recent,50
12967.0,6,19,16609.0,5,2,4,524,Other,15
12968.0,188,5,1359.5,2,1,1,211,Low Value,10
12970.0,386,151,4522.4,1,5,2,152,Other,15
12971.0,2,304,110981.1,5,5,5,555,High Value,100
12974.0,273,8,1448.0,1,1,1,111,Low Value,10
12976.0,297,22,7386.0,1,2,3,123,Other,15
12977.0,231,9,392.4,1,1,1,111,Low Value,10
12980.0,7,20,73749.0,5,2,5,525,Other,15
12981.0,105,20,3722.2,3,2,2,322,Other,15
12982.0,318,28,3905.4,1,2,2,122,Low Value,10
12984.0,94,4,975.0,4,1,1,411,Recent,50
12985.0,104,76,12393.8,3,4,4,344,Other,15
12987.0,149,28,5587.0,2,2,3,223,Other,15
12988.0,368,92,5353.2,1,4,3,143,Other,15
12989.0,13,64,69241.1,5,4,5,545,High Value,100
12990.0,107,13,4095.0,3,1,2,312,Other,15
12991.0,99,31,5037.6,4,3,3,433,Other,15
12993.0,99,27,4147.6,4,2,2,422,Recent,50
12994.0,195,61,9744.2,2,4,4,244,Frequent,70
12995.0,161,3,2113.2,2,1,1,211,Low Value,10
12997.0,98,59,12268.9,4,4,4,444,High Value,100
